date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:01:58	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-5f263a052b022%22	https://www.maks4max.com/robots.txt		(from )
14:01:59	77265/77265	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2019:01:52%20GMT	https://www.maks4max.com/	C:/Users/ursba/Downloads/LLC/LLC/www.maks4max.com/index.html	(from )
14:02:00	58578/58578	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-e4d2%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.13.0/css/all.min.css	C:/Users/ursba/Downloads/LLC/LLC/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.13.0/css/all.min.css	(from https://www.maks4max.com/)
14:02:00	108228/108228	---M--	200	added ('OK')	image/png	etag:%221a6c4-5f263a047e28c%22	https://www.maks4max.com/images/maks4max-logo.png	C:/Users/ursba/Downloads/LLC/LLC/www.maks4max.com/images/maks4max-logo.png	(from https://www.maks4max.com/)
14:02:01	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-15d84%22	https://code.jquery.com/jquery-3.5.1.min.js	C:/Users/ursba/Downloads/LLC/LLC/code.jquery.com/jquery-3.5.1.min.js	(from https://www.maks4max.com/)
14:02:01	259/259	---M--	200	added ('OK')	text/css	etag:%22103-5f263a0442970%22	https://www.maks4max.com/css/styles.css	C:/Users/ursba/Downloads/LLC/LLC/www.maks4max.com/css/styles.css	(from https://www.maks4max.com/)
14:02:01	22349/22349	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2019:01:55%20GMT	https://www.maks4max.com/aboutUs	C:/Users/ursba/Downloads/LLC/LLC/www.maks4max.com/aboutUs.html	(from https://www.maks4max.com/)
14:02:02	76823/76823	---M--	200	added ('OK')	image/jpeg	etag:%2212c17-5f263a04736ad%22	https://www.maks4max.com/images/estate_plan.jpg	C:/Users/ursba/Downloads/LLC/LLC/www.maks4max.com/images/estate_plan.jpg	(from https://www.maks4max.com/)
14:02:02	398428/398428	---M--	200	added ('OK')	text/html	etag:%226145c-5f263a045cf4e%22	https://www.maks4max.com/images/4.webp	C:/Users/ursba/Downloads/LLC/LLC/www.maks4max.com/images/4.html	(from https://www.maks4max.com/)
14:02:03	63764/63764	---M--	200	added ('OK')	text/html	etag:%22f914-5f263a046b9ad%22	https://www.maks4max.com/images/annuity.webp	C:/Users/ursba/Downloads/LLC/LLC/www.maks4max.com/images/annuity.html	(from https://www.maks4max.com/)
14:02:03	58959/58959	---M--	200	added ('OK')	image/jpeg	etag:%22e64f-5f263a047a40c%22	https://www.maks4max.com/images/lifeinsurance.jpg	C:/Users/ursba/Downloads/LLC/LLC/www.maks4max.com/images/lifeinsurance.jpg	(from https://www.maks4max.com/)
14:02:03	110237/110237	---M--	200	added ('OK')	image/jpeg	etag:%221ae9d-5f263a04707cd%22	https://www.maks4max.com/images/college_planning.jpg	C:/Users/ursba/Downloads/LLC/LLC/www.maks4max.com/images/college_planning.jpg	(from https://www.maks4max.com/)
14:02:04	66913/66913	---M--	200	added ('OK')	image/jpeg	etag:%2210561-5f263a0488e6b%22	https://www.maks4max.com/images/Mortgage-Laws.jpg	C:/Users/ursba/Downloads/LLC/LLC/www.maks4max.com/images/Mortgage-Laws.jpg	(from https://www.maks4max.com/)
14:02:04	269538/269538	---M--	200	added ('OK')	image/jpeg	etag:%226333a2c2-41ce2%22	https://smesouthafrica.co.za/wp-content/uploads/2022/08/business-people-accept-or-confirm-project-on-the-p-2022-02-06-21-55-18-utc-scaled.jpg	C:/Users/ursba/Downloads/LLC/LLC/smesouthafrica.co.za/wp-content/uploads/2022/08/business-people-accept-or-confirm-project-on-the-p-2022-02-06-21-55-18-utc-scaled.jpg	(from https://www.maks4max.com/)
